pkg	version	fn
networkDynamic	0.11.5	%k%
networkDynamic	0.11.5	%t%
networkDynamic	0.11.5	activate.edge.attribute
networkDynamic	0.11.5	activate.edge.value
networkDynamic	0.11.5	activate.edges
networkDynamic	0.11.5	activate.network.attribute
networkDynamic	0.11.5	activate.vertex.attribute
networkDynamic	0.11.5	activate.vertices
networkDynamic	0.11.5	add.edge.networkDynamic
networkDynamic	0.11.5	add.edges.active
networkDynamic	0.11.5	add.edges.networkDynamic
networkDynamic	0.11.5	add.vertices.active
networkDynamic	0.11.5	add.vertices.networkDynamic
networkDynamic	0.11.5	adjust.activity
networkDynamic	0.11.5	as.data.frame.networkDynamic
networkDynamic	0.11.5	as.network.networkDynamic
networkDynamic	0.11.5	as.networkDynamic
networkDynamic	0.11.5	as.networkDynamic.network
networkDynamic	0.11.5	as.networkDynamic.networkDynamic
networkDynamic	0.11.5	deactivate.edge.attribute
networkDynamic	0.11.5	deactivate.edges
networkDynamic	0.11.5	deactivate.network.attribute
networkDynamic	0.11.5	deactivate.vertex.attribute
networkDynamic	0.11.5	deactivate.vertices
networkDynamic	0.11.5	delete.edge.activity
networkDynamic	0.11.5	delete.vertex.activity
networkDynamic	0.11.5	dyads.age.at
networkDynamic	0.11.5	edge.pid.check
networkDynamic	0.11.5	edges.age.at
networkDynamic	0.11.5	get.change.times
networkDynamic	0.11.5	get.dyads.active
networkDynamic	0.11.5	get.edge.activity
networkDynamic	0.11.5	get.edge.attribute.active
networkDynamic	0.11.5	get.edge.id
networkDynamic	0.11.5	get.edge.pid
networkDynamic	0.11.5	get.edge.value.active
networkDynamic	0.11.5	get.edgeIDs.active
networkDynamic	0.11.5	get.edges.active
networkDynamic	0.11.5	get.neighborhood.active
networkDynamic	0.11.5	get.network.attribute.active
networkDynamic	0.11.5	get.networks
networkDynamic	0.11.5	get.vertex.activity
networkDynamic	0.11.5	get.vertex.attribute.active
networkDynamic	0.11.5	get.vertex.id
networkDynamic	0.11.5	get.vertex.pid
